Edge	Score_init	Score_changed
2pg_c (pp) h2o_c	1.0	0.25
ENO (pp) ENO	1.0	0.25
ENO (pp) pep_c	1.0	0.25
ENO (pp) h2o_c	1.0	0.25
etoh_e (pp) ETOHt2r	1.0	4.0
etoh_e (pp) h_c	1.0	4.0
etoh_e (pp) etoh_c	1.0	4.0
h_e (pp) ETOHt2r	1.0	4.0
h_e (pp) h_c	1.0	4.0
h_e (pp) etoh_c	1.0	4.0
ETOHt2r (pp) ETOHt2r	1.0	4.0
ETOHt2r (pp) h_c	1.0	4.0
ETOHt2r (pp) etoh_c	1.0	4.0
ac_e (pp) EX_ac_e	1.0	1.0
EX_ac_e (pp) EX_ac_e	1.0	1.0
acald_e (pp) EX_acald_e	1.0	1.0
EX_acald_e (pp) EX_acald_e	1.0	1.0
akg_e (pp) EX_akg_e	1.0	1.0
EX_akg_e (pp) EX_akg_e	1.0	1.0
co2_e (pp) EX_co2_e	1.0	1.0
EX_co2_e (pp) EX_co2_e	1.0	1.0
etoh_e (pp) EX_etoh_e	1.0	1.0
EX_etoh_e (pp) EX_etoh_e	1.0	1.0
for_e (pp) EX_for_e	1.0	1.0
EX_for_e (pp) EX_for_e	1.0	1.0
fru_e (pp) EX_fru_e	1.0	1.0
EX_fru_e (pp) EX_fru_e	1.0	1.0
fum_e (pp) EX_fum_e	1.0	1.0
EX_fum_e (pp) EX_fum_e	1.0	1.0
glc__D_e (pp) EX_glc__D_e	1.0	1.0
EX_glc__D_e (pp) EX_glc__D_e	1.0	1.0
gln__L_e (pp) EX_gln__L_e	1.0	1.0
EX_gln__L_e (pp) EX_gln__L_e	1.0	1.0
glu__L_e (pp) EX_glu__L_e	1.0	1.0
EX_glu__L_e (pp) EX_glu__L_e	1.0	1.0
h_e (pp) EX_h_e	1.0	1.0
EX_h_e (pp) EX_h_e	1.0	1.0
h2o_e (pp) EX_h2o_e	1.0	1.0
EX_h2o_e (pp) EX_h2o_e	1.0	1.0
lac__D_e (pp) EX_lac__D_e	1.0	1.0
EX_lac__D_e (pp) EX_lac__D_e	1.0	1.0
mal__L_e (pp) EX_mal__L_e	1.0	1.0
EX_mal__L_e (pp) EX_mal__L_e	1.0	1.0
nh4_e (pp) EX_nh4_e	1.0	1.0
EX_nh4_e (pp) EX_nh4_e	1.0	1.0
o2_e (pp) EX_o2_e	1.0	1.0
EX_o2_e (pp) EX_o2_e	1.0	1.0
pi_e (pp) EX_pi_e	1.0	1.0
EX_pi_e (pp) EX_pi_e	1.0	1.0
pyr_e (pp) EX_pyr_e	1.0	1.0
EX_pyr_e (pp) EX_pyr_e	1.0	1.0
succ_e (pp) EX_succ_e	1.0	1.0
EX_succ_e (pp) EX_succ_e	1.0	1.0
